"Name","Author","User Rating","Reviews","Price","Year","Genre"
"Dear Zoo: A Lift-the-Flap Book","Rod Campbell","4.8","10922","4.0","2017","Fiction"
"Dear Zoo: A Lift-the-Flap Book","Rod Campbell","4.8","10922","4.0","2018","Fiction"
"Decision Points","George W. Bush","4.6","2137","13.600000000000001","2010","Non Fiction"
"Delivering Happiness: A Path to Profits, Passion, and Purpose","Tony Hsieh","4.6","1651","12.0","2010","Non Fiction"
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5","American Psychiatric Association","4.5","6679","84.0","2013","Non Fiction"
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5","American Psychiatric Association","4.5","6679","84.0","2014","Non Fiction"
"Diary of a Wimpy Kid: Hard Luck, Book 8","Jeff Kinney","4.8","6812","0.0","2013","Fiction"
"Diary of a Wimpy Kid: The Last Straw (Book 3)","Jeff Kinney","4.8","3837","12.0","2009","Fiction"
"Diary of a Wimpy Kid: The Long Haul","Jeff Kinney","4.8","6540","17.6","2014","Fiction"
"Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids)","M Prefontaine","4.6","7955","4.0","2019","Non Fiction"
"Divergent","Veronica Roth","4.6","27098","12.0","2013","Fiction"
"Divergent","Veronica Roth","4.6","27098","12.0","2014","Fiction"
"Divergent / Insurgent","Veronica Roth","4.5","17684","4.800000000000001","2014","Fiction"
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and Allâ€¦","Zhi Gang Sha","4.6","37","4.800000000000001","2009","Non Fiction"
"Doctor Sleep: A Novel","Stephen King","4.7","15845","10.4","2013","Fiction"
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)","Jeff Kinney","4.8","3181","9.600000000000001","2009","Fiction"
"Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4)","Dav Pilkey","4.9","5062","4.800000000000001","2018","Fiction"
"Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3)","Dav Pilkey","4.9","4786","6.4","2017","Fiction"
"Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6)","Dav Pilkey","4.9","7235","3.2","2018","Fiction"
"Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6)","Dav Pilkey","4.9","7235","3.2","2019","Fiction"
"Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8)","Dav Pilkey","4.9","12619","6.4","2019","Fiction"
"Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7)","Dav Pilkey","4.9","9089","6.4","2019","Fiction"
"Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5)","Dav Pilkey","4.9","5470","4.800000000000001","2018","Fiction"
"Double Down (Diary of a Wimpy Kid #11)","Jeff Kinney","4.8","5118","16.0","2016","Fiction"
"Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books)","Marty Noble","4.6","2134","4.0","2015","Non Fiction"
"Drive: The Surprising Truth About What Motivates Us","Daniel H. Pink","4.5","2525","12.8","2010","Non Fiction"
"Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution","David Zinczenko","4.5","720","0.8","2009","Non Fiction"
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!","David Zinczenko","4.3","956","11.200000000000001","2009","Non Fiction"
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition","Joel Fuhrman MD","4.5","6346","7.2","2011","Non Fiction"
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition","Joel Fuhrman MD","4.5","6346","7.2","2012","Non Fiction"
"Eclipse (Twilight Sagas)","Stephenie Meyer","4.7","5505","5.6000000000000005","2009","Fiction"
"Eclipse (Twilight)","Stephenie Meyer","4.7","5505","14.4","2009","Fiction"
"Educated: A Memoir","Tara Westover","4.7","28729","12.0","2018","Non Fiction"
"Educated: A Memoir","Tara Westover","4.7","28729","12.0","2019","Non Fiction"
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Printsâ€¦","Johanna Basford","4.7","5413","7.2","2015","Non Fiction"
"Fahrenheit 451","Ray Bradbury","4.6","10721","6.4","2016","Fiction"
"Fahrenheit 451","Ray Bradbury","4.6","10721","6.4","2018","Fiction"
"Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter)","J.K. Rowling","4.7","4370","12.0","2016","Fiction"
"Fear: Trump in the White House","Bob Woodward","4.4","6042","1.6","2018","Non Fiction"
"Fifty Shades Darker","E L James","4.4","23631","5.6000000000000005","2012","Fiction"
"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition)","E L James","4.5","20262","8.8","2012","Fiction"
"Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series)","E L James","3.8","47265","11.200000000000001","2012","Fiction"
"Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series)","E L James","3.8","47265","11.200000000000001","2013","Fiction"
"Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed)","E L James","4.5","13964","25.6","2012","Fiction"
"Fire and Fury: Inside the Trump White House","Michael Wolff","4.2","13677","4.800000000000001","2018","Non Fiction"
"First 100 Words","Roger Priddy","4.7","17323","3.2","2014","Non Fiction"
"First 100 Words","Roger Priddy","4.7","17323","3.2","2015","Non Fiction"
"First 100 Words","Roger Priddy","4.7","17323","3.2","2016","Non Fiction"
"First 100 Words","Roger Priddy","4.7","17323","3.2","2017","Non Fiction"
"First 100 Words","Roger Priddy","4.7","17323","3.2","2018","Non Fiction"
"Food Rules: An Eater's Manual","Michael Pollan","4.4","1555","7.2","2010","Non Fiction"
"Frozen (Little Golden Book)","RH Disney","4.7","3642","0.0","2014","Fiction"
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime","John Heilemann","4.4","1215","7.2","2010","Non Fiction"
"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows","George R.R. Martin","4.6","5594","4.0","2011","Fiction"
"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows","George R.R. Martin","4.6","5594","4.0","2012","Fiction"
"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows","George R.R. Martin","4.6","5594","4.0","2013","Fiction"
"George Washington's Sacred Fire","Peter A. Lillback","4.5","408","16.0","2010","Non Fiction"
"George Washington's Secret Six: The Spy Ring That Saved the American Revolution","Brian Kilmeade","4.6","4799","12.8","2013","Non Fiction"
"Giraffes Can't Dance","Giles Andreae","4.8","14038","3.2","2015","Fiction"
"Giraffes Can't Dance","Giles Andreae","4.8","14038","3.2","2016","Fiction"
"Giraffes Can't Dance","Giles Andreae","4.8","14038","3.2","2017","Fiction"
"Giraffes Can't Dance","Giles Andreae","4.8","14038","3.2","2018","Fiction"
"Giraffes Can't Dance","Giles Andreae","4.8","14038","3.2","2019","Fiction"
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals","Rachel Hollis","4.6","7660","9.600000000000001","2019","Non Fiction"
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be","Rachel Hollis","4.6","22288","9.600000000000001","2018","Non Fiction"
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be","Rachel Hollis","4.6","22288","9.600000000000001","2019","Non Fiction"
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine","Glenn Beck","4.6","1365","8.8","2009","Non Fiction"
"Go Set a Watchman: A Novel","Harper Lee","3.6","14982","15.200000000000001","2015","Fiction"
"Go the F**k to Sleep","Adam Mansbach","4.8","9568","7.2","2011","Fiction"
"Going Rogue: An American Life","Sarah Palin","4.6","1636","4.800000000000001","2009","Non Fiction"
"Gone Girl","Gillian Flynn","4","57271","8.0","2012","Fiction"
"Gone Girl","Gillian Flynn","4","57271","8.0","2013","Fiction"
"Gone Girl","Gillian Flynn","4","57271","7.2","2014","Fiction"
"Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal","Pretty Simple Press","4.6","10141","4.800000000000001","2019","Non Fiction"
"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins","4.5","3457","11.200000000000001","2009","Non Fiction"
"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins","4.5","3457","11.200000000000001","2010","Non Fiction"
"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins","4.5","3457","11.200000000000001","2011","Non Fiction"
"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins","4.5","3457","11.200000000000001","2012","Non Fiction"
"Goodnight Moon","Margaret Wise Brown","4.8","8837","4.0","2017","Fiction"
"Goodnight Moon","Margaret Wise Brown","4.8","8837","4.0","2018","Fiction"
"Goodnight Moon","Margaret Wise Brown","4.8","8837","4.0","2019","Fiction"
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)","Sherri Duskey Rinker","4.9","7038","5.6000000000000005","2012","Fiction"
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)","Sherri Duskey Rinker","4.9","7038","5.6000000000000005","2013","Fiction"
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers","David Perlmutter MD","4.6","5972","8.0","2014","Non Fiction"
"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series)","E L James","4.4","25624","11.200000000000001","2015","Fiction"
"Guts","Raina Telgemeier","4.8","5476","5.6000000000000005","2019","Non Fiction"
"Hamilton: The Revolution","Lin-Manuel Miranda","4.9","5867","43.2","2016","Non Fiction"
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander","Phil Robertson","4.8","4148","8.8","2013","Non Fiction"
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)","J.K. Rowling","4.9","19622","24.0","2016","Fiction"
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script","J.K. Rowling","4","23973","9.600000000000001","2016","Fiction"
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)","J. K. Rowling","4.9","7758","14.4","2019","Fiction"
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)","J.K. Rowling","4.9","3146","24.0","2017","Fiction"
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)","J.K. Rowling","4.9","10052","17.6","2016","Fiction"
"Harry Potter Coloring Book","Scholastic","4.7","3564","7.2","2015","Non Fiction"
"Harry Potter Paperback Box Set (Books 1-7)","J. K. Rowling","4.8","13471","41.6","2016","Fiction"
"Have a Little Faith: A True Story","Mitch Albom","4.8","1930","3.2","2009","Non Fiction"
"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back","Todd Burpo","4.7","15779","8.0","2011","Non Fiction"
"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back","Todd Burpo","4.7","15779","8.0","2012","Non Fiction"
"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis","J. D. Vance","4.4","15526","11.200000000000001","2016","Non Fiction"
"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis","J. D. Vance","4.4","15526","11.200000000000001","2017","Non Fiction"
"Homebody: A Guide to Creating Spaces You Never Want to Leave","Joanna Gaines","4.8","3776","17.6","2018","Non Fiction"
"How to Win Friends & Influence People","Dale Carnegie","4.7","25001","8.8","2014","Non Fiction"
"How to Win Friends & Influence People","Dale Carnegie","4.7","25001","8.8","2015","Non Fiction"
"How to Win Friends & Influence People","Dale Carnegie","4.7","25001","8.8","2016","Non Fiction"
"How to Win Friends & Influence People","Dale Carnegie","4.7","25001","8.8","2017","Non Fiction"
"How to Win Friends & Influence People","Dale Carnegie","4.7","25001","8.8","2018","Non Fiction"
"Howard Stern Comes Again","Howard Stern","4.3","5272","12.8","2019","Non Fiction"
"Humans of New York","Brandon Stanton","4.8","3490","12.0","2013","Non Fiction"
"Humans of New York","Brandon Stanton","4.8","3490","12.0","2014","Non Fiction"
"Humans of New York : Stories","Brandon Stanton","4.9","2812","13.600000000000001","2015","Non Fiction"
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened","Allie Brosh","4.7","4896","13.600000000000001","2013","Non Fiction"
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls","Hopscotch Girls","4.8","9737","5.6000000000000005","2019","Non Fiction"
"I, Alex Cross","James Patterson","4.6","1320","5.6000000000000005","2009","Fiction"
"If Animals Kissed Good Night","Ann Whitford Paul","4.8","16643","3.2","2017","Fiction"
"If Animals Kissed Good Night","Ann Whitford Paul","4.8","16643","3.2","2019","Fiction"
"If I Stay","Gayle Forman","4.3","7153","7.2","2014","Fiction"
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin","Eric Larson","4.4","4571","16.8","2011","Non Fiction"
"Inferno","Dan Brown","4.1","29651","11.200000000000001","2013","Fiction"
"Inheritance: Book IV (Inheritance Cycle)","Christopher Paolini","4.6","5299","16.0","2011","Fiction"
"Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthyâ€¦","Jennifer Smith","4.4","7396","10.4","2019","Non Fiction"
"Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthyâ€¦","Jennifer Smith","4.4","7396","10.4","2018","Non Fiction"
"It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered","Lysa TerKeurst","4.8","7062","9.600000000000001","2019","Non Fiction"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","4.9","19576","6.4","2011","Non Fiction"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","4.9","19576","6.4","2012","Non Fiction"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","4.9","19576","6.4","2013","Non Fiction"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","4.9","19576","6.4","2014","Non Fiction"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","4.9","19576","6.4","2015","Non Fiction"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","4.9","19576","6.4","2016","Non Fiction"
"JOURNEY TO THE ICE P","RH Disney","4.6","978","0.0","2014","Fiction"
"Joyland (Hard Case Crime)","Stephen King","4.5","4748","9.600000000000001","2013","Fiction"
"Killers of the Flower Moon: The Osage Murders and the Birth of the FBI","David Grann","4.6","8393","13.600000000000001","2017","Non Fiction"
"Killing Jesus (Bill O'Reilly's Killing Series)","Bill O'Reilly","4.5","11391","9.600000000000001","2013","Non Fiction"
"Killing Kennedy: The End of Camelot","Bill O'Reilly","4.6","8634","20.0","2012","Non Fiction"
"Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series)","Bill O'Reilly","4.7","9342","8.0","2011","Non Fiction"
"Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series)","Bill O'Reilly","4.7","9342","8.0","2012","Non Fiction"
"Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series)","Bill O'Reilly","4.6","10927","4.800000000000001","2014","Non Fiction"
"Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series)","Bill O'Reilly","4.6","5235","4.0","2015","Non Fiction"
"Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series)","Bill O'Reilly","4.8","8916","4.800000000000001","2016","Non Fiction"
"Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.)","Anthony Bourdain","4.8","2507","6.4","2018","Non Fiction"
"Knock-Knock Jokes for Kids","Rob Elliott","4.5","3673","3.2","2013","Non Fiction"
"Knock-Knock Jokes for Kids","Rob Elliott","4.5","3673","3.2","2014","Non Fiction"
"Knock-Knock Jokes for Kids","Rob Elliott","4.5","3673","3.2","2015","Non Fiction"
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT ChildrenÂ’s Book)","Jill Twiss","4.9","11881","10.4","2018","Fiction"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","4.6","6990","3.2","2013","Non Fiction"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","4.6","6990","3.2","2014","Non Fiction"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","4.6","6990","3.2","2015","Non Fiction"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","4.6","6990","3.2","2016","Non Fiction"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","4.6","6990","3.2","2017","Non Fiction"
"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg","4.5","6132","10.4","2013","Non Fiction"
"Leonardo da Vinci","Walter Isaacson","4.5","3014","16.8","2017","Non Fiction"
"Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering","Paper Peony Press","4.4","7550","4.800000000000001","2018","Non Fiction"
"Liberty and Tyranny: A Conservative Manifesto","Mark R. Levin","4.8","3828","12.0","2009","Non Fiction"
"Life","Keith Richards","4.5","2752","14.4","2010","Non Fiction"
"Little Bee: A Novel","Chris Cleave","4.1","1467","8.0","2010","Fiction"
"Little Blue Truck","Alice Schertle","4.9","1884","0.0","2014","Fiction"
"Little Fires Everywhere","Celeste Ng","4.5","25706","9.600000000000001","2018","Fiction"
"Looking for Alaska","John Green","4.5","8491","5.6000000000000005","2014","Fiction"
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived","Rob Bell","4.2","1649","10.4","2011","Non Fiction"
"Love You Forever","Robert Munsch","4.8","18613","4.0","2014","Fiction"
"Love You Forever","Robert Munsch","4.8","18613","4.0","2015","Fiction"
"Magnolia Table: A Collection of Recipes for Gathering","Joanna Gaines","4.8","9867","12.8","2018","Non Fiction"
"Make It Ahead: A Barefoot Contessa Cookbook","Ina Garten","4.5","1386","16.0","2014","Non Fiction"
"Make Your Bed: Little Things That Can Change Your Life...And Maybe the World","Admiral William H. McRaven","4.7","10199","8.8","2017","Non Fiction"
"Mastering the Art of French Cooking, Vol. 2","Julia Child","4.8","2926","21.6","2009","Non Fiction"
"Milk and Honey","Rupi Kaur","4.7","17739","6.4","2016","Non Fiction"
"Milk and Honey","Rupi Kaur","4.7","17739","6.4","2017","Non Fiction"
"Milk and Honey","Rupi Kaur","4.7","17739","6.4","2018","Non Fiction"
"Milk and Vine: Inspirational Quotes From Classic Vines","Adam Gasiewski","4.4","3113","4.800000000000001","2017","Non Fiction"
"Mindset: The New Psychology of Success","Carol S. Dweck","4.6","5542","8.0","2014","Non Fiction"
"Mindset: The New Psychology of Success","Carol S. Dweck","4.6","5542","8.0","2015","Non Fiction"
"Mindset: The New Psychology of Success","Carol S. Dweck","4.6","5542","8.0","2016","Non Fiction"
"Mockingjay (The Hunger Games)","Suzanne Collins","4.5","26741","6.4","2010","Fiction"
"Mockingjay (The Hunger Games)","Suzanne Collins","4.5","26741","6.4","2011","Fiction"
"Mockingjay (The Hunger Games)","Suzanne Collins","4.5","26741","6.4","2012","Fiction"
"National Geographic Kids Why?: Over 1,111 Answers to Everything","Crispin Boyer","4.8","5347","12.8","2019","Non Fiction"
"National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books)","Amy Shields","4.8","7866","8.8","2019","Non Fiction"
"New Moon (The Twilight Saga)","Stephenie Meyer","4.6","5680","8.0","2009","Fiction"
"Night (Night)","Elie Wiesel","4.7","5178","7.2","2016","Non Fiction"
"No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden","Mark Owen","4.6","8093","11.200000000000001","2012","Non Fiction"
"Obama: An Intimate Portrait","Pete Souza","4.9","3192","17.6","2017","Non Fiction"
"Oh, the Places You'll Go!","Dr. Seuss","4.9","21834","6.4","2012","Fiction"
"Oh, the Places You'll Go!","Dr. Seuss","4.9","21834","6.4","2013","Fiction"
"Oh, the Places You'll Go!","Dr. Seuss","4.9","21834","6.4","2014","Fiction"
"Oh, the Places You'll Go!","Dr. Seuss","4.9","21834","6.4","2015","Fiction"
"Oh, the Places You'll Go!","Dr. Seuss","4.9","21834","6.4","2016","Fiction"
